frac,deletion,insertion
0.0,0.1609,0.0633
0.0909,0.1357,0.1195
0.1818,0.1421,0.1177
0.2727,0.1422,0.1164
0.3636,0.1398,0.1161
0.4545,0.1312,0.1193
0.5455,0.1176,0.1265
0.6364,0.0983,0.1375
0.7273,0.0794,0.1491
0.8182,0.0737,0.1554
0.9091,0.0682,0.1579
1.0,0.0633,0.1609
