frac,deletion,insertion
0.0,0.3912,0.4189
0.0909,0.4025,0.403
0.1818,0.4244,0.3857
0.2727,0.4115,0.3971
0.3636,0.4135,0.3955
0.4545,0.4101,0.3987
0.5455,0.412,0.3968
0.6364,0.4148,0.3945
0.7273,0.4177,0.3922
0.8182,0.4205,0.39
0.9091,0.4197,0.3907
1.0,0.4189,0.3912
